nonaccredited_cnt,investment_cnt,accredited_sum,facility_cnt,meal_cnt,research_rank,nonaccredited_rank,speaking_sum,education_cnt,honoraria_cnt,grant_rank,consulting_rank,grant_sum,honoraria_rank,investment_rank,general_rank,meal_rank,royalty_rank,travel_sum,grant_cnt,royalty_cnt,investment_sum,honoraria_sum,id,facility_sum,entertainment_rank,entertainment_sum,gift_cnt,travel_cnt,drugname,charitable_sum,accredited_cnt,desc,speaking_rank,research_sum,travel_rank,charitable_cnt,categories,meal_sum,speaking_cnt,gift_sum,accredited_rank,royalty_sum,general_cnt,class,consulting_cnt,education_rank,research_cnt,total_sum,nonaccredited_sum,total_count,education_sum,companies,gift_rank,entertainment_cnt,url,general_sum,consulting_sum,charitable_rank,facility_rank
1,,,12,2351,525,77,341847,52,,,53,,,,110,249,,122223,,,,,7308,13400,,,,461,JAKAFI,,,Treats myelofibrosis.,98,22965,72,,{},62267,179,,,,3241,Antineoplastic Agent,185,160,14,839341,4410,3241,1743,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012062/?report=details,839341,293448,,41
166,,,1,6107,314,9,,,,,305,,,,136,156,,121888,,,,,7812,2000,,,,368,NASONEX,,,Treats or prevents symptoms of allergies (hay fever). Also treats nasal polyps. This medicine is a corticosteroid.,,195391,73,,{},114429,,,,,6878,Anti-Inflammatory,236,,59,651018,387601,6878,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011263/?report=details,651018,25100,,117
,,,,1022,184,,,3,,,323,,,,572,443,,,,,,,6812,,,,,,GAZYVA,,,Treats chronic lymphocytic leukemia (CLL).,,808202,,,{},14680,,,,,1042,Antineoplastic Agent,17,257,85,37778,,1042,270,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0021871/?report=details,37778,22828,,
30,,,,5039,454,34,26404,42,,,29,,,,115,138,,63214,,,,,8479,,,,78,153,PROLENSA,17000,,Treats eye pain and swelling after cataract surgery. This medicine is an NSAID.,269,50000,132,1,{},133923,21,1560,,,5512,Anti-Inflammatory,148,101,2,791543,71750,5512,7495,{},17,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009328/?report=details,791543,470195,2,
,,,,1340,345,,455490,,,,103,,,,127,289,,58840,,,,,5272,,,,,251,AMPYRA,,,Helps improve walking in patients who have multiple sclerosis.,77,150182,150,,{},46886,245,,,,1873,Central Nervous System Agent,37,,16,689201,,1873,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009799/?report=details,689201,127984,,
,,,8,630,187,,39185,4,,,,,,,505,499,,2161,,,,,7305,5100,,,,6,IXEMPRA,,,Treats advanced breast cancer in patients who have already received other types of breast cancer medicine. It is used alone or with another cancer medicine called capecitabine.,233,776494,540,,{},9526,24,,,,672,Antineoplastic Agent,,407,26,55985,,672,12,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010816/?report=details,55985,,,77
,,,,34,204,,11444,,,37,93,8079,,,320,771,43,2081,2,1,,,5867,,,,,4,CEREZYME,,,Treats type 1 Gaucher disease.,323,661030,544,,{},714,10,,,750,86,Digestant,36,,4,169263,,86,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010676/?report=details,169263,146944,,
,,,,34,204,,11444,,,37,93,8079,,,320,771,43,2081,2,1,,,5867,,,,,4,CEREZYME,,,Treats type 1 Gaucher disease.,323,661030,544,,{},714,10,,,750,86,Gastrointestinal Agent,36,,4,169263,,86,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010676/?report=details,169263,146944,,
,,,1,6103,205,,,53,,,272,,,,327,159,,9329,,,,,5232,500,,,,39,ALIMTA,,,Treats certain types of cancer in or near the lungs.,,658354,404,,{},113745,,,,,6205,Antineoplastic Agent,9,131,85,159494,,6205,3753,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011628/?report=details,159494,32166,,155
,,,,14,185,,,,,,591,,,,933,817,,,,,,,7622,,,,,,MEKINIST,,,Treats melanoma (skin cancer).,,807522,,,{},409,,,,,16,Antineoplastic Agent,2,,36,2861,,16,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0015586/?report=details,2861,2451,,
,,,,3779,284,,,,194,61,522,1000,10,,165,154,,31923,1,,,365293,8032,,,,,108,ONFI,,,Treats seizures from Lennox-Gastaut syndrome. This medicine is a benzodiazepine.,,274647,230,,{},116473,,,,,4118,Anticonvulsant,36,,4,519127,,4118,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009661/?report=details,519127,4437,,
,,,,3779,284,,,,194,61,522,1000,10,,165,154,,31923,1,,,365293,8032,,,,,108,ONFI,,,Treats seizures from Lennox-Gastaut syndrome. This medicine is a benzodiazepine.,,274647,230,,{},116473,,,,,4118,Sedative-Hypnotic,36,,4,519127,,4118,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009661/?report=details,519127,4437,,
,,,24,1142,387,,377587,,,,132,,,,130,221,,117593,,,,,5137,18200,,,,173,ACTIVASE,,,Dissolves blood clots.,92,100501,80,,{},75130,244,,,,1604,Thrombolytic,21,,3,677427,,1604,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008901/?report=details,677427,88916,,29
164,,,,1460,296,10,,,,,,,,,164,398,,120093,,,,,8876,,,,,364,SINGULAIR,,,Prevents asthma attacks and treats allergies.,,236003,76,,{},20719,,,,,1988,Anti-Inflammatory,,,10,524513,383701,1988,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011272/?report=details,524513,,,
,,,,1215,330,,,,,,33,,,,156,244,,54280,,,,,6375,,,,,246,EDARBI,,,Treats high blood pressure. This medicine is an angiotensin II receptor blocker (ARB).,,176106,161,,{},65042,,,,,1779,Antihypertensive,318,,65,563832,,1779,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009178/?report=details,563832,444509,,
,,,,1155,252,,,1,111,61,133,1000,15,,216,242,,11288,1,,,194700,8743,,,,,33,SABRIL,,,Treats seizures and infantile spasms. This is an anticonvulsant.,,371567,369,,{},66046,,,,,1304,Anticonvulsant,3,414,40,359056,,1304,9,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012633/?report=details,359056,86012,,
,,,9,7290,286,,224700,3,,,278,,,,188,123,,26540,,,,,6064,12000,,,,156,CREON,,,"Helps patients who have cystic fibrosis, pancreatitis, or digestive disorders digest food.",131,269227,253,,{},149615,102,,,,7571,Digestant,11,304,72,444551,,7571,117,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011575/?report=details,444551,31578,,42
,,,9,7290,286,,224700,3,,,278,,,,188,123,,26540,,,,,6064,12000,,,,156,CREON,,,"Helps patients who have cystic fibrosis, pancreatitis, or digestive disorders digest food.",131,269227,253,,{},149615,102,,,,7571,Enzyme Replacement,11,304,72,444551,,7571,117,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011575/?report=details,444551,31578,,42
,,,9,7290,286,,224700,3,,,278,,,,188,123,,26540,,,,,6064,12000,,,,156,CREON,,,"Helps patients who have cystic fibrosis, pancreatitis, or digestive disorders digest food.",131,269227,253,,{},149615,102,,,,7571,Gastrointestinal Agent,11,304,72,444551,,7571,117,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011575/?report=details,444551,31578,,42
6,,,,1926,207,66,,13,,,,,,,548,350,,3553,,,,,5373,,,,,13,ARESTIN,,,Treats nausea and vomiting.,,642581,499,,{},28897,,,,,1958,Antiemetic,,258,37,43015,10305,1958,260,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012538/?report=details,43015,,,
,,,3,4067,335,,328981,459,,,184,,,,169,251,,60648,,,,,5533,3000,,,,99,BETASERON,,,Reduces flare-ups of multiple sclerosis (MS).,103,170207,138,,{},61833,225,,,,4879,Central Nervous System Agent,26,240,4,510838,,4879,367,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010748/?report=details,510838,56008,,97
,,,3,4067,335,,328981,459,,,184,,,,169,251,,60648,,,,,5533,3000,,,,99,BETASERON,,,Reduces flare-ups of multiple sclerosis (MS).,103,170207,138,,{},61833,225,,,,4879,Immune Modulator,26,240,4,510838,,4879,367,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010748/?report=details,510838,56008,,97
,,,3,4067,335,,328981,459,,,184,,,,169,251,,60648,,,,,5533,3000,,,,99,BETASERON,,,Reduces flare-ups of multiple sclerosis (MS).,103,170207,138,,{},61833,225,,,,4879,Immunological Agent,26,240,4,510838,,4879,367,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010748/?report=details,510838,56008,,97
,,,2,812,229,,,291,,,110,,,,292,414,,57353,,,,,7924,2275,,,,67,NORDITROPIN,,,Treats conditions in which a person's body does not grow properly or does not produce enough natural growth hormone.,,463902,155,,{},17783,,,,,1204,Endocrine-Metabolic Agent,32,82,84,204902,,1204,12690,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012188/?report=details,204902,114800,,113
,,,,521,313,,108145,,,30,59,9500,,,184,363,,37894,2,,,,6642,,,,,120,FABRAZYME,,,Treats Fabry disease.,183,202603,203,,{},26755,65,,,,762,Endocrine-Metabolic Agent,54,,40,460357,,762,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008840/?report=details,460357,278063,,
,,,,10483,393,,,,210,,,,12,,155,117,,47996,,,,354900,7974,,,,,157,NUVIGIL,,,"Treats sleepiness from narcolepsy, sleep apnea, or night shift work.",,95835,181,,{},162612,,,,,10850,CNS Stimulant,,,20,565508,,10850,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009105/?report=details,565508,,,
,,,,3,208,,,,,,435,,,,784,830,,,,,,,9533,,,,,,TYCERB,,,"Treats cancer, including breast cancer. Often used with capecitabine or letrozole.",,620583,,,{},349,,,,,8,Antineoplastic Agent,5,,41,9779,,8,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010865/?report=details,9779,9430,,
,,,,386,209,,,2,,,622,,,,801,530,,,,,,,5675,,,,,,BRAVELLE,,,Treats infertility. This is a hormone.,,619732,,,{},7421,,,,,389,Endocrine-Metabolic Agent,1,430,5,8697,,389,1,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012575/?report=details,8697,1275,,
,,,,386,209,,,2,,,622,,,,801,530,,,,,,,5675,,,,,,BRAVELLE,,,Treats infertility. This is a hormone.,,619732,,,{},7421,,,,,389,Female Reproductive Agent,1,430,5,8697,,389,1,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012575/?report=details,8697,1275,,
4,,,,2464,434,70,26654,43,,,35,,,,157,236,,35555,,,,,5529,,,,,66,BESIVANCE,17000,,Treats bacterial conjunctivitis (pink eye). This medicine is a fluoroquinolone antibiotic.,268,60500,215,1,{},68119,18,,,,2732,Antibiotic,136,135,3,563765,7250,2732,3366,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009259/?report=details,563765,405820,2,
22,,,7,536,222,45,,,,,482,,,,457,508,,13281,,,,,7947,3940,,,,49,NOXAFIL,,,"Treats or prevents fungus infections, especially in people who have a weak immune system.",,527521,338,,{},9161,,,,,621,Antifungal,7,,119,76207,44000,621,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011789/?report=details,76207,5825,,89
,,,,7330,547,,378808,763,,,446,,,,153,163,,,,,,,8573,,,,,,RAPAFLO,,,"Treats problems caused by an enlarged prostate (benign prostatic hyperplasia, or BPH). This medicine is an alpha-blocker.",91,16600,,,{},108974,272,,,,8369,Benign Prostatic Hypertrophy Agent,4,26,6,573134,,8369,77101,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012118/?report=details,573134,8250,,
,,,,260,212,,,,,,,,,,809,525,,,,,,,5479,,,,,,AZOPT,,,Treats increased eye pressure caused by glaucoma or ocular hypertension.,,577479,,,{},8067,,,,,260,Antiglaucoma,,,631,8067,,260,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009326/?report=details,8067,,,
,,,,2499,658,,,,,,33,,,,151,207,,54280,,,,,6376,,,,,246,EDARBYCLOR,,,Treats high blood pressure. This medicine contains an angiotensin II receptor blocker (ARB) and a diuretic (water pill).,,671,161,,{},81342,,,,,3063,Antihypertensive,318,,4,580132,,3063,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009181/?report=details,580132,444509,,
,,,,61,228,,,50,4,18,350,25000,81,,386,585,,4810,1,,,10750,7397,,,,,12,KUVAN,250,,Lowers phenylalanine levels in the blood.,,468576,478,1,{},4272,,,,,135,Endocrine-Metabolic Agent,6,34,102,112024,,135,47194,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012078/?report=details,112024,19747,16,
,,,,61,221,,31100,1,2,,527,,139,,532,646,,9949,,,,75,9765,,,,,34,VOTRIENT,,,Treats late-stage kidney cancer and advanced soft tissue sarcoma.,253,530924,397,,{},2318,16,,,,117,Antineoplastic Agent,3,377,35,47811,,117,36,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011608/?report=details,47811,4331,,
,,,,61,221,,31100,1,2,,527,,139,,532,646,,9949,,,,75,9765,,,,,34,VOTRIENT,,,Treats late-stage kidney cancer and advanced soft tissue sarcoma.,253,530924,397,,{},2318,16,,,,117,Immunological Agent,3,377,35,47811,,117,36,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011608/?report=details,47811,4331,,
,,,,2699,392,,294393,,,,668,,,,179,193,,94358,,,,,8317,,,,,209,PICATO,,,Treats actinic keratosis (AK).,111,95911,104,,{},90276,173,,,,3082,Dermatological Agent,1,,4,479253,,3082,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010720/?report=details,479253,225,,
387,,,1,4132,660,7,,,,,,,,,158,229,,51646,,,,,7895,2000,,,,264,NEXPLANON,,,Prevents pregnancy. This medicine is a hormone mixed in a plastic rod.,,500,170,,{},71843,,,,,4784,Contraceptive,,,1,561014,435525,4784,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010230/?report=details,561014,,,117
387,,,1,4132,660,7,,,,,,,,,158,229,,51646,,,,,7895,2000,,,,264,NEXPLANON,,,Prevents pregnancy. This medicine is a hormone mixed in a plastic rod.,,500,170,,{},71843,,,,,4784,Progestin,,,1,561014,435525,4784,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010230/?report=details,561014,,,117
,,,,20,218,,11938,4,,,,,,,748,795,,24,,,,,7398,,,,,1,KYNAMRO,,,Treats high cholesterol levels in people with homozygous familial hypercholesterolemia (HoHF).,320,542310,677,,{},542,6,,,,31,Antihyperlipidemic,,400,9,12521,,31,16,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014592/?report=details,12521,,,
15,,,,2766,281,50,46220,20,,,105,,,,251,286,,22146,,,,,6625,,,,,82,EXJADE,,,Treats iron toxicity. This medicine is an iron chelator (binder).,230,277160,277,,{},47716,14,,,,2913,Heavy Metal Chelator,16,313,131,264628,27000,2913,106,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009836/?report=details,264628,121438,,
,,,3,6631,266,,57319,,,,300,,,,288,177,,25555,,,,,7700,2100,,,,81,MIRENA,,,"This is an intrauterine device (IUD), which is a reversible form of birth control. This type of IUD slowly releases levonorgestrel, a hormone. It is used to prevent pregnancy and to treat heavy menstrual bleeding. An IUD works best in women who have had at least one child.",221,327992,260,,{},99222,46,,,,6775,Contraceptive,14,,29,211189,,6775,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010921/?report=details,211189,26992,,116
,,,3,6631,266,,57319,,,,300,,,,288,177,,25555,,,,,7700,2100,,,,81,MIRENA,,,"This is an intrauterine device (IUD), which is a reversible form of birth control. This type of IUD slowly releases levonorgestrel, a hormone. It is used to prevent pregnancy and to treat heavy menstrual bleeding. An IUD works best in women who have had at least one child.",221,327992,260,,{},99222,46,,,,6775,Local,14,,29,211189,,6775,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010921/?report=details,211189,26992,,116
,,,3,6631,266,,57319,,,,300,,,,288,177,,25555,,,,,7700,2100,,,,81,MIRENA,,,"This is an intrauterine device (IUD), which is a reversible form of birth control. This type of IUD slowly releases levonorgestrel, a hormone. It is used to prevent pregnancy and to treat heavy menstrual bleeding. An IUD works best in women who have had at least one child.",221,327992,260,,{},99222,46,,,,6775,Endocrine-Metabolic Agent,14,,29,211189,,6775,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010921/?report=details,211189,26992,,116
,,,,2044,370,,243250,3244,,,592,,,,200,225,,38867,,,,,7513,,,,8,107,LOTRONEX,,,Treats irritable bowel syndrome (IBS).,127,118725,200,,{},73025,129,102,,,5671,Antidiarrheal,139,33,48,407883,,5671,50245,{},34,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008892/?report=details,407883,2392,,
,,,,2044,370,,243250,3244,,,592,,,,200,225,,38867,,,,,7513,,,,8,107,LOTRONEX,,,Treats irritable bowel syndrome (IBS).,127,118725,200,,{},73025,129,102,,,5671,Gastrointestinal Agent,139,33,48,407883,,5671,50245,{},34,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008892/?report=details,407883,2392,,
39,,,3,275,241,29,,5,,,,,,,368,503,,26565,,,,,9231,1400,,,,105,SYLATRON,,,Treats hepatitis C.,,399716,252,,{},9405,,,,,427,Antineoplastic Agent,,349,17,122431,85000,427,59,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011622/?report=details,122431,,,132
39,,,3,275,241,29,,5,,,,,,,368,503,,26565,,,,,9231,1400,,,,105,SYLATRON,,,Treats hepatitis C.,,399716,252,,{},9405,,,,,427,Immunological Agent,,349,17,122431,85000,427,59,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011622/?report=details,122431,,,132
,,,,2434,234,,32027,,,50,,3000,,,467,328,,,1,,,,6657,,,,,,FASLODEX,,,Treats breast cancer in women who have gone through menopause.,250,450756,,,{},35949,33,,,,2468,Antiestrogen,,,20,70976,,2468,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010410/?report=details,70976,,,
,,,1,5290,593,,291950,156,,,251,,,,172,164,,60856,,,,,7956,1500,,,,120,NUCYNTA,,,Treats severe pain. This medicine is a narcotic pain reliever.,112,8720,137,,{},108877,166,,,,5750,Analgesic,17,211,5,499916,,5750,732,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012294/?report=details,499916,36000,,128
,,,,,225,,,,,,530,,,,891,,,,,,,,5350,,,,,,APLISOL,,,Used to test for tuberculosis (TB) infection.,,504065,,,{},,,,,,2,Diagnostic Agent,2,,40,4200,,2,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012560/?report=details,4200,4200,,
,,,,,225,,,,,,530,,,,891,,,,,,,,5350,,,,,,APLISOL,,,Used to test for tuberculosis (TB) infection.,,504065,,,{},,,,,,2,Tuberculin,2,,40,4200,,2,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012560/?report=details,4200,4200,,
117,,,,5812,391,13,,,,,464,,,,208,191,,48926,,,,,9920,,,,,220,ZOSTAVAX,,,Varivax® prevents chicken pox (varicella virus). Zostavax® prevents shingles (herpes zoster virus).,,96588,177,,{},92011,,,,,6152,Vaccine,3,,23,384283,236590,6152,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012613/?report=details,384283,6755,,
20,,,1,730,249,35,,,,,,,,,435,476,,6680,,,,,8731,750,,,,28,ROTATEQ,,,Prevents infants and children from getting a rotavirus stomach infection.,,388292,446,,{},11250,,,,,779,Vaccine,,,51,85035,66355,779,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012049/?report=details,85035,,,145
,,,,4120,609,,264987,863,,,328,,,,182,145,,50217,,,,,6255,,,,,155,DICLEGIS,,,Treats nausea and vomiting during pregnancy (also called morning sickness).,118,6750,173,,{},128248,234,,,,5376,Antiemetic,4,213,3,466026,,5376,697,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0015551/?report=details,466026,21875,,
,,,,4120,609,,264987,863,,,328,,,,182,145,,50217,,,,,6255,,,,,155,DICLEGIS,,,Treats nausea and vomiting during pregnancy (also called morning sickness).,118,6750,173,,{},128248,234,,,,5376,Antihistamine Combination,4,213,3,466026,,5376,697,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0015551/?report=details,466026,21875,,
23,,,,254,260,43,21780,,,,290,,,,362,470,,13779,,,,,9399,,,,,72,TOBI PODHALER,,,Treats lung infections in patients who have cystic fibrosis. This medicine is an aminoglycoside antibiotic.,283,344125,333,,{},11950,5,,,,371,Antibiotic,17,,27,126194,49550,371,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012444/?report=details,126194,29135,,
,,,,3032,295,,109902,38,,,516,,,,275,227,,44013,,,,,8279,,,,,190,PERFOROMIST,,,Prevents asthma attacks and treats other lung problems such as COPD. Also prevents exercise-induced bronchospasm (EIB). This medicine is a bronchodilator.,181,237771,190,,{},72288,121,,,,3384,Bronchodilator,3,271,51,231082,,3384,203,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010388/?report=details,231082,4675,,
1,,,,8594,263,81,,,,,,,,,356,144,,1187,,,,,6624,,,,,4,EXFORGE,,,Treats high blood pressure. This medicine contains a calcium channel blocker (CCB) and an angiotensin receptor blocker (ARB).,,333155,588,,{},128950,,,,,8599,Antihypertensive,,,1,132437,2300,8599,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008958/?report=details,132437,,,
30,,,,14,261,28,,,,,,,,,373,779,,21518,,,,,6759,,,,,28,FOSAMAX,,,Treats or prevents osteoporosis. Also treats Paget disease of the bone.,,342272,285,,{},675,,,,,72,Calcium Regulator,,,10,121193,99000,72,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008861/?report=details,121193,,,
,,,,199,235,,4960,,,,438,,,,692,615,,,,,,,5944,,,,,,CLOLAR,,,"Treats cancer, including leukemia.",364,442899,,,{},3256,3,,,,204,Antineoplastic Agent,2,,54,17480,,204,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0009667/?report=details,17480,9264,,
,,,3,28409,431,,31781,9,,,304,,,,205,56,,5400,,,,,9704,687,,,,16,VIAGRA,,,Treats erectile dysfunction (trouble having an erection). Also treats pulmonary arterial hypertension (high blood pressure in the lungs).,251,64218,468,,{},328491,104,,,,28548,Antihypertensive,7,343,7,391542,,28548,65,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012114/?report=details,391542,25116,,148
,,,3,28409,431,,31781,9,,,304,,,,205,56,,5400,,,,,9704,687,,,,16,VIAGRA,,,Treats erectile dysfunction (trouble having an erection). Also treats pulmonary arterial hypertension (high blood pressure in the lungs).,251,64218,468,,{},328491,104,,,,28548,Peripheral Vasodilator,7,343,7,391542,,28548,65,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012114/?report=details,391542,25116,,148
,,,3,28409,431,,31781,9,,,304,,,,205,56,,5400,,,,,9704,687,,,,16,VIAGRA,,,Treats erectile dysfunction (trouble having an erection). Also treats pulmonary arterial hypertension (high blood pressure in the lungs).,251,64218,468,,{},328491,104,,,,28548,Erectile Dysfunction Agent,7,343,7,391542,,28548,65,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012114/?report=details,391542,25116,,148
,,,,5852,256,,,,,,,,,,416,180,,,,,,,8266,,,,,,PENTASA,,,Treats and prevents flare-ups of ulcerative colitis.,,360241,,,{},95459,,,,,5852,Anti-Inflammatory,,,1,95459,,5852,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011105/?report=details,95459,,,
,,,,5852,256,,,,,,,,,,416,180,,,,,,,8266,,,,,,PENTASA,,,Treats and prevents flare-ups of ulcerative colitis.,,360241,,,{},95459,,,,,5852,Gastrointestinal Agent,,,1,95459,,5852,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0011105/?report=details,95459,,,
,,,,867,279,,61700,29,,,281,,,,338,421,,40907,,,,,6849,,,,,95,GENOTROPIN,,,Treats conditions in which a person's body does not grow properly or does not produce enough natural growth hormone.,217,284089,197,,{},17388,40,,,,1040,Endocrine-Metabolic Agent,9,164,18,153006,,1040,1651,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012188/?report=details,153006,31359,,
,,,,2115,329,,136750,4,,,243,,,,256,261,,29828,,,,,7295,,,,,94,ISTODAX,,,Treats certain types of cancer called cutaneous T-cell lymphoma (CTCL) and peripheral T-cell lymphoma (PTCL).,164,176555,238,,{},55510,84,,,,2319,Antineoplastic Agent,22,376,28,259274,,2319,36,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012032/?report=details,259274,37150,,
,,,,889,290,,107450,252,,,341,,,,309,362,,9864,,,,,8648,,,,,39,RENVELA,,,Lowers the amount of phosphorus in blood of patients receiving kidney dialysis.,185,249758,399,,{},27066,61,,,,1255,Phosphate Binder,14,64,77,183350,,1255,18860,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012110/?report=details,183350,20109,,
,,,,1108,239,,,,,,,,,,735,459,,,,,,,7039,,,,,,HUMATROPE,,,Treats conditions in which a person's body does not grow properly or does not produce enough natural growth hormone.,,411011,,,{},13499,,,,,1108,Endocrine-Metabolic Agent,,,88,13499,,1108,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012188/?report=details,13499,,,
,,,1,10577,325,,37106,6,,,249,,,,265,124,,22796,,,,,9418,250,,,,87,TOVIAZ,,,Treats symptoms of an overactive bladder such as incontinence (loss of bladder control) or a frequent need to urinate.,235,179545,270,,{},147436,90,,,,10771,Urinary Antispasmodic,10,356,107,243820,,10771,50,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0010292/?report=details,243820,36180,,164
,,,,2774,633,,126200,437,,,106,,,,194,155,,52797,,,,,6551,,,,,210,EPIDUO,,,Treats acne.,173,2000,164,,{},115365,73,,,,3608,Antiacne,114,105,1,421290,,3608,6828,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0008830/?report=details,421290,120100,,
,,,,9,244,,,,,,429,,,,712,881,,4965,,,,,6789,,,,,6,FYCOMPA,,,Treats seizures caused by epilepsy.,,397472,477,,{},163,,,,,22,Anticonvulsant,7,,239,15073,,22,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014601/?report=details,15073,9945,,
,,,,9,244,,,,,,429,,,,712,881,,4965,,,,,6789,,,,,6,FYCOMPA,,,Treats seizures caused by epilepsy.,,397472,477,,{},163,,,,,22,Central Nervous System Agent,7,,239,15073,,22,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0014601/?report=details,15073,9945,,
,,,,493,258,,18300,,,,355,,,,513,490,,7137,,,,,6394,,,,,20,EGRIFTA,,,Used to reduce excess fat (lipodystrophy) in the abdomen or stomach in patients infected with human immunodeficiency virus (HIV).,298,352424,438,,{},10150,8,,,,528,Endocrine-Metabolic Agent,7,,188,54268,,528,,{},,,http://www.ncbi.nlm.nih.gov/pubmedhealth/PMHT0012348/?report=details,54268,18680,,
