nonaccredited_cnt,investment_cnt,accredited_sum,meal_cnt,research_rank,nonaccredited_rank,speaking_sum,education_cnt,honoraria_cnt,grant_rank,consulting_rank,grant_sum,honoraria_rank,investment_rank,general_rank,meal_rank,royalty_rank,travel_sum,grant_cnt,royalty_cnt,investment_sum,honoraria_sum,id,facility_sum,entertainment_rank,entertainment_sum,gift_cnt,travel_cnt,charitable_sum,accredited_cnt,speaking_rank,research_sum,travel_rank,charitable_cnt,drugs,meal_sum,accredited_rank,cleanname,gift_sum,speaking_cnt,royalty_sum,general_cnt,consulting_cnt,education_rank,research_cnt,education_sum,nonaccredited_sum,facility_cnt,gift_rank,devices,entertainment_cnt,general_sum,consulting_sum,charitable_rank,facility_rank
,,,412,,,11750,23,,189,448,500,,,114,274,,102328,1,,,,1141,,51,190,7975,207,469,,253,,108,2,{},17305,,Benco Dental Supply Co.,900415,2,,8631,1,202,,2049,,,5,{},8,1046258,11250,86,
,,,35,278,,1278,,,,262,,,,404,429,,33886,,,,,1142,,,,,27,,,360,57048,209,,{},3693,,Benvenue Medical Inc.,,1,,79,16,,22,,,,,{},,89978,51120,,
,,,49,,,,,7,,253,,69,,393,535,,12125,,,,26800,1143,,,,,10,,,,,329,,{},1508,,"Bg Medicine, Inc.",,,,81,15,,,,,,,{},,95759,55325,,
,,,10,275,,,,,,591,,,,942,725,,,,,,,1144,,,,,,,,,60912,,,{},175,,"Bio Products Laboratory, Inc.",,,,13,3,,10,,,,,{},,538,362,,
,,,133,,,37300,,,,,,,,517,372,69,2516,,1,,,1145,,,,,4,,,201,,474,,{},6892,,Biocomposites Inc.,,6,169513,143,,,,,,,,{},,46708,,,
,,,1,,,,,,,,,,,1000,794,,,,,,,1146,,,,,,,,,,,,{},25,,Bio Detek Inc.,,,,1,,,,,,,,{},,25,,,
,,,6,80,,140207,,,,,,,,196,697,,1378,,,,,1147,,68,40,134,2,,,126,1560573,532,,{},255,,"Biofire Diagnostics, LLC",254636,22,,168,,,14,,,,10,{},4,396517,,,
1,,,25099,37,66,2332865,2316,,38,29,175525,,,39,45,108,413052,33,2,,,1148,,,,,1641,,,27,5581642,46,,{},474927,,Biogen Idec Inc.,,1136,45000,30546,320,71,2280,34144,666,,,{},,4690358,1259177,,
15,,358204,1435,207,8,,1,43,,265,,25,,119,131,,77135,,,,154287,1149,,,,39,89,,63,,160000,124,,{},95198,5,"Biolase, Inc.",16330,,,1691,6,278,4,200,212450,,55,{},,963807,50000,,
,,,115,112,,,74,5,99,325,25000,92,,321,362,,17108,1,,,12750,1150,,,,,20,250,,,713130,288,1,{},7182,,Biomarin Pharmaceutical Inc.,,,,231,15,44,147,65896,,,,{},,160514,32327,92,
,,,78,124,,66298,,,,258,,,,340,502,,8808,,,,,1151,,,,,13,,,162,608700,357,,{},1892,,Biomerieux,,9,,127,27,,18,,,,,{},,130096,53096,,
,,,1,,,,,,,479,,,,757,763,,448,,,,,1152,,,,,2,,,,,582,,{},90,,Biomet 3i Deutschland GmbH,,,,4,1,,,,,,,{},,8783,8244,,
,,,,,,,,,,,,,,996,,,36,,,,,1153,,,,,3,,,,,614,,{},,,"Biomet 3i Japan, Inc.",,,,3,,,,,,,,{},,36,,,
,,,,,,,,,,,,,,920,,,833,,,,,1154,,,,,3,,,,,566,,{},,,Biomet 3i Mexico Sa De Cv,,,,3,,,,,,,,{},,833,,,
,,,1,,,,,,,,,,,995,784,,,,,,,1155,,,,,,,,,,,,{},44,,Biomet 3i UK Ltd.,,,,1,,,,,,,,{},,44,,,
,,,11817,86,,273602,2226,,26,10,296651,,,34,39,4,947580,96,451,,,1156,40503,,,443,2657,,,89,1387591,27,,{},585735,,"Biomet, Inc.",127079,5,13061773,18022,763,11,210,392948,,15,24,{},,5951595,3287494,,37
,,,,309,,750,,,,,,,,929,,,,,,,,1157,,,,,,,,372,32202,,,{},,,Bioness Inc.,,1,,1,,,9,,,,,{},,750,,,
,,,11,,,,,7,,,,90,,635,589,147,7020,,7,,14000,1158,,,,,7,,,,,389,,{},892,,"Biopro, Inc.",,,13165,25,,,,,,,,{},,21913,,,
,,3000,52,267,,424092,5,,,450,,,,150,457,116,12056,,46,,,1159,3391,,,148,25,60000,2,75,77787,331,1,{},2880,39,"Bio Rad Laboratories, Inc.",77810,1080,36437,1324,8,203,3,2036,,3,32,{},,596470,11203,10,117
,,,2879,67,,,7,,14,50,574212,,,81,133,121,221595,13,2,,,1160,83928,,,,769,,,,2096442,75,,{},93465,,"Biosense Webster, Inc.",,,32325,3956,256,197,186,2569,,32,,{},,1585269,609499,,17
,,,17,,,,,,,,,,,949,664,,53,,,,,1161,,,,,1,,,,,613,,{},387,,Biotest Pharmaceuticals Corporation,,,,18,,,,,,,,{},,440,,,
95,,,9776,53,9,,228,12,82,100,40000,41,,92,44,,261658,1,,,71367,1162,,,,,1070,1250,,,2992814,68,1,{},514557,,Biotronik Inc.,,,,11369,186,86,11156,25454,191950,,,{},,1376232,269994,77,
,,,4797,,,46150,120,,,195,,,,186,101,,109242,,,,,1163,500,,,,492,,,185,,106,,{},159728,,Bioventus LLC,,12,,5457,35,76,,29536,,1,,{},,433290,88132,,149
,,,51,,,,,,,,,,,844,453,,,,,,,1164,,,,,,,,,,,,{},2938,,"Blockade Medical, LLC",,,,51,,,,,,,,{},,2938,,,
,,,127,,,,,,,135,,,,281,321,,19790,,,,,1165,,59,92,,30,,,,,263,,{},9976,,"Blue Belt Technologies, Inc.",,,,175,17,,,,,,,{},1,194167,164308,,
,,,,,,,,,,,,,,1003,,,,,,,,1166,,,,,,,,,,,,{},,,"Blue Sky Bio, LLC",,,,0,,,,,,,,{},,0,,,
,,2000,152,114,,133024,2,151,178,58,2362,11,,63,226,,976466,2,,,509938,1167,,,,,280,,1,132,703545,24,,{},28524,42,Boehringer Ingelheim Pharma GmbH & Co.Kg,,160,,836,88,195,599,2714,,,,{},,2173040,518009,,
22,,,127302,33,28,5043152,2313,,10,20,793526,,,17,7,,391100,29,,,,1168,192424,,,,2000,,,11,7132252,47,,{},2553677,,"Boehringer Ingelheim Pharmaceuticals, Inc.",,3787,,136105,489,89,1416,24945,20250,163,,{},,10781565,1762487,,3
,,,150,,,,,15,,,,59,,410,275,,29635,,,,40356,1169,,53,155,,138,,,,,224,,{},17164,,Bolton Medical Inc.,,,,304,,,,,,,,{},1,87311,,,
,,,40594,35,,,544,,4,9,1873734,,,24,14,16,1691238,179,25,,,1170,42373,,,,4598,,,,6342270,8,,{},1797618,,Boston Scientific Corporation,,,2738850,47364,1432,52,1730,53198,,17,,{},,8961147,3502982,,33
,,,2055,,,32415,,,,161,,,,275,192,,,,,,,1171,,,,,,,,210,,,,{},41008,,"Braemar Manufacturing, LLC",,30,,2120,35,,,,,,,{},,202506,129083,,
,,,1,140,,,,2,,,,147,,856,791,,,,,,2600,1172,,,,,,,,,479115,,,{},32,,Brahms GmbH,,,,3,,,40,,,,,{},,2632,,,
,,16064,421,139,,1193,26,4,,,,98,,259,242,,50651,,,,10125,1173,32250,,,,141,,9,364,481250,171,,{},23856,19,"Brainlab, Inc.",,10,,622,,36,1,89830,,11,,{},,223970,,,45
,,,3175,261,,11500,43,,148,259,5500,,,348,172,23,961,2,14,,,1174,,,,,1,,,254,88525,556,,{},51704,,"Braintree Laboratories, Inc.",,3,1789497,3240,16,175,30,3900,,,,{},,125922,52355,,
1,,3710,103229,1,68,6450361,706,67,18,24,491512,61,,13,8,,891121,22,,,37678,1175,143020,,,7,3925,150200,20,8,329403705,29,10,{},2346374,36,Bristol Myers Squibb Company,3200,3889,,112823,821,81,3420,27823,300,126,102,{},,11928089,1382787,6,7
,,,3,,,,,1,,519,,115,,715,715,,1150,,,,6000,1176,,,,,2,,,,,540,,{},190,,Bsd Medical Corporation,,,,8,2,,,,,,,{},,11851,4510,,
,,3423,5,255,,75045,1640,,191,67,419,,,122,631,,76253,6,,,,1177,2000,,,,100,1500,1,159,92717,126,2,{},572,37,"Btg International, Inc.",,15,,1851,81,17,4,295511,,1,,{},,927641,472917,76,133
,,,,,,,,,,,,,,900,,,,,,,,1178,,,,64,,,,,,,,{},,,"Buffalo Filter, LLC",1300,,,64,,,,,,,120,{},,1300,,,
3,5,4200,7881,72,39,122478,81,622,71,54,56950,6,15,54,57,20,481089,12,42,113470,844623,1179,15250,,,31,957,48583,3,135,1907380,41,8,{},356745,35,"C. R. Bard, Inc. & Subsidiaries",44968,41,2263618,10002,352,27,380,154175,8066,6,40,{},,2810301,559698,14,62
,,,,,,,10,2,,,,172,,768,,,2761,,,,1000,1180,,,,2,2,,,,,465,,{},,,"Cadwell Industries, Inc.",992,,,16,,183,,3350,,,127,{},,8104,,,
,,,85,,,,,,,407,,,,631,403,,,,,,,1181,,,,11,,,,,,,,{},4849,,"Caldera Medical, Inc.",934,,,101,5,,,,,,130,{},,23283,17500,,
,,,,284,,,,,,380,,,,649,,,,,,,,1182,,,,,,,,,52679,,,{},,,Cantel Medical Corp.,,,,2,2,,3,,,,,{},,20000,20000,,
,50,,,,,,,,,,,,20,406,,,,,,88449,,1183,,,,,,,,,,,,{},,,Capitol Cryotherapy LP,,,,50,,,,,,,,{},,88449,,,
,,,8,,,,,,,299,,,,553,628,95,,,2,,,1184,,,,16,,,,,,,,{},585,,Captiva Spine Inc.,927,,64119,28,4,,,,,,131,{},,39412,37900,,
,,,128,192,,6000,,,,469,,,,557,333,,13757,,,,,1185,,,,,25,,,288,200983,318,,{},9055,,"Cardiac Assist, Inc.",,5,,161,3,,6,,,,,{},,37812,9000,,
,,1500,15,296,,,,,,583,,,,817,625,,1567,,,,,1186,,,,,3,,1,,45780,518,,{},616,44,"Cardica, Inc.",,,,20,1,,7,,,,,{},,4296,612,,
,,,532,,,,,,,108,,,,161,216,,160046,,,,,1187,50000,,,,580,51700,,,,83,10,{},32357,,"Cardinal Health, Inc.",,,,1466,339,,,,,5,,{},,535601,241497,11,26
,,,5,,,,,,,423,,,,595,541,,12770,,,,,1188,,,,,3,,,,,326,,{},1472,,"Cardiosolutions, Inc.",,,,10,2,,,,,,,{},,29501,15258,,
,,1495,5006,107,,,,141,,163,,14,,113,73,189,229733,,1,,444591,1189,15150,,,,737,,1,,785936,73,,{},231787,47,Cardiovascular Systems Inc.,,,797,5895,6,,216,,,4,,{},,1047840,125083,,64
,,,,,,,,5,,,,108,,727,,,,,,,8332,1190,,15,2581,,,,,,,,,{},,,"Cardiva Medical, Inc.",,,,75,,,,,,,,{},70,10913,,,
,,1500,694,150,,229035,11,,112,140,17700,,,139,170,99,66543,5,6,,,1191,,,,202,163,,1,102,380062,135,,{},53000,44,Carefusion Corporation,172775,8,60467,1118,34,227,4,1088,,,15,{},,702201,160558,,
,,,1019,,,89278,127,,125,136,13225,,,187,160,,35881,17,,,,1192,,,,,77,,,153,,203,,{},63037,,"Carestream Dental, LLC",,31,,1278,7,45,,64672,,,,{},,429740,163646,,
,,,13,240,,36573,,,,580,,,,535,562,,3409,,,,,1193,,,,1,7,,,203,114625,451,,{},1169,,"Carestream Health, Inc.",17,4,,26,1,,2,,,,195,{},,41918,750,,
23,,,363,,17,,,,61,202,72000,,,204,250,,30480,1,,,,1194,,,,140,41,,,,,220,,{},21434,,"Carl Zeiss Meditec, Inc.",114737,,,587,19,,,,48199,,25,{},,370333,83481,,
,,,17,,,2420,4,,,153,,,,326,531,,8224,,,,,1195,,,,,26,,,338,,367,,{},1556,,Carter Bloodcare,,7,,57,3,223,,1235,,,,{},,153058,139622,,
,,,46,385,,12667,6,,,597,,,,538,440,,5800,,,,,1196,,,,1,3,,,249,7200,403,,{},3295,,Cas Medical Systems Inc.,11000,3,,60,1,138,2,8448,,,67,{},,41375,162,,
,,,,283,,,,1,,239,,164,,471,,,,,,,1500,1197,,,,,,,,,54167,,,{},,,Catheter Robotics Inc.,,,,6,5,,5,,,,,{},,64000,62500,,
,,,,,,,,,,,,,,1003,,,,,,,,1198,,,,,,,,,,,,{},,,"Cba Associates, LLC",,,,0,,,,,,,,{},,0,,,
,,,,,,,18,,,,,,,733,,,1758,,,,,1199,,,,,8,,,,,502,,{},,,Cdc Medical LLC,,,,26,,139,,8340,,,,{},,10098,,,
,,10000,11894,28,,1830135,539,,31,35,260500,,,42,49,,656363,5,,,,1200,39265,,,,1722,50000,3,30,10612656,35,1,{},444716,22,Celgene Corporation,,900,,15563,472,161,1247,4872,,27,,{},,4337241,1041388,13,39
,,,84,295,,,,4,,,,114,,717,395,,230,,,,6300,1201,,,,,2,,,,47250,602,,{},5101,,Celleration Inc.,,,,90,,,19,,,,,{},,11632,,,
,,,,421,,4917,,,,148,,,,327,,,,,,,,1202,,40,489,,,,,299,400,,,{},,,"Celonova Biosciences, Inc.",,2,,36,26,,1,,,,,{},8,149683,144276,,
,,,101,366,,,,,,145,,,,313,402,,6645,,,,,1203,,,,,15,10000,,,10600,393,1,{},4858,,"Centinel Spine, Inc.",,,,143,26,,1,,,,,{},,166753,145250,42,
,,,,,,9509,,,,,,,,719,,,896,,,,,1204,1114,,,,3,,,268,,561,,{},,,Central Blood Bank,,5,,16,,,,,,8,,{},,11519,,,144
,,,,,,,,,,,,,,1003,,,,,,,,1205,,,,,,,,,,,,{},,,Central California Surgical Distributors LLC,,,,0,,,,,,,,{},,0,,,
,,,,,,,,,,,,,,1003,,,,,,,,1206,,,,,,,,,,,,{},,,"Central Dallas Surgical Supply, LLC",,,,0,,,,,,,,{},,0,,,
,,,,,,,,,,351,,,,622,,,,,,,,1207,,,,,,,,,,,,{},,,"Centric Health Resources, Inc.",,,,5,5,,,,,,,{},,25000,25000,,
,,,47,,,90280,,3,85,150,37951,126,,224,481,35,13005,8,2,,4500,1208,,,,3,28,,,152,,323,,{},2346,,Cepheid,10675,13,714338,108,6,,,,,,69,{},,302527,143768,,
,,,,299,,,,,,,,,,1003,,,,,,,,1209,,,,,,,,,42252,,,{},,,Ceterix Orthpedics Inc.,,,,0,,,1,,,,,{},,0,,,
,,,18,400,,10000,,,,582,,,,713,538,,,,,,,1210,,,,,,,,263,4419,,,{},1497,,"Cheetah Medical, Inc.",,2,,21,1,,2,,,,,{},,12197,700,,
,,,2,,,,,,,530,,,,786,774,,2904,,,,,1211,,,,,5,,,,,463,,{},67,,"Clariance, Inc.",,,,10,3,,,,,,,{},,6721,3750,,
,,,6,,,62100,,,,323,,,,387,637,,,,,,,1212,,,,,,2000,,168,,,1,{},539,,Clarity Medical System,,20,,45,18,,,,,,,{},,97639,33000,74,
,,,16,,,,,,,458,,,,731,702,,,,,,,1213,,,,,,,,,,,,{},247,,"Clincial Technology, Inc.",,,,21,5,,,,,,,{},,10663,10416,,
,,,4,420,,,,,,,,,,994,783,,,,,,,1214,,73,10,,,,,,442,,,{},46,,"Clinical Innovations, LLC",,,,5,,,1,,,,,{},1,56,,,
,,6000,,,,,32,4,,537,,120,,617,,,,,,,5000,1215,,,,,,,1,,,,,{},,31,Clinician's Choice Dental Products Inc.,,,,39,2,125,,11397,,,,{},,25297,2900,,
3,,,29,,37,,,,,453,,,,608,473,,4595,,,,,1216,,,,,3,,,,,424,,{},2498,,"Coalign Innovations, Inc.",,,,39,4,,,,8500,,,{},,26593,11000,,
,,,,,,,,,,,,,,986,,,107,,,,,1217,,,,,1,,,,,609,,{},,,Cochlear Americas,,,,1,,,,,,,,{},,107,,,
,,,510,169,,126102,,,98,270,25628,,,221,220,,63108,40,,,,1218,15095,,,,191,,,133,273497,141,,{},30754,,Cochlear Ltd.,,82,,848,13,,217,,,12,,{},,308769,48080,,65
,,,3647,266,,,28,,,38,,,,77,87,,270676,,,,,1219,,,,,744,,,,77966,64,,{},188934,,Coloplast Corp,,,,4717,298,20,51,263607,,,,{},,1665499,942281,,
,,,5,,,,,,,,,,,964,765,,,,,,,1220,,,,7,,,,,,,,{},86,,Community Blood Center,234,,,12,,,,,,,155,{},,320,,,
,,,484,210,,28094,1,,,301,,,,318,269,37,42186,,26,,,1221,36867,,,,169,,,217,158183,189,,{},18418,,"Conformis, Inc.",,13,648889,683,8,310,10,3,,8,,{},,162937,37367,,43
,,,804,330,,163150,68,,37,90,187500,,,130,205,45,111373,15,43,,,1222,7500,,,,515,,,120,24014,104,,{},36103,,Conmed Corporation,,23,429261,1474,45,150,5,6296,,4,,{},,827914,315991,,94
2,,,802,,51,,,,,294,,,,394,230,,4625,,,,,1223,20250,,,,9,,,,,423,,{},27352,,Convatec Inc.,,,,870,17,,,,3150,40,,{},,94889,39511,,54
,,,43,,,,,,,350,,,,569,494,190,7422,,1,,,1224,,,,,14,,,,,381,,{},2090,,Convergent Dental Inc.,,,660,58,1,,,,,,,{},,34726,25213,,
,,,5263,,,,72,,30,34,265233,,,61,82,17,244550,9,9,,,1225,12000,,,,488,10000,,,,70,1,{},203097,,Cook Inc.orporated,,,2697532,5982,143,15,,315430,,6,,{},,2184452,1134140,42,71
,,,109,,,,1,,,466,,,,539,331,,11477,,,,,1226,950,,,,13,,,,,335,,{},9078,,Cook Medical LLC,,,,130,5,128,,9600,,2,,{},,40905,9800,,146
,,,2,,,,,,,517,,,,802,752,,,,,,,1227,,,,,,,,,,,,{},123,,Cook Medical Technologies LLC,,,,3,1,,,,,,,{},,5023,4900,,
,,,191,,,,,,,175,,,,361,361,46,3647,,22,,,1228,,,,,6,,,,,442,,{},7238,,"Coopersurgical, Inc.",,,421691,250,53,,,,,,,{},,116115,105229,,
,,,4997,120,,40669,181,,181,213,1659,,,188,74,,14340,12,,,,1229,,,,54,36,,,194,638514,306,,{},221116,,Coopervision Inc.,9374,55,,5521,186,48,34,58156,,,73,{},,418261,72944,,
,,,440,,,,,69,139,275,8400,37,,289,301,,31092,2,,,87500,1230,,,,,100,,,,,218,,{},12884,,Corcept Therapeutics,,,,627,16,,,,,,,{},,186339,46462,,
,,,3956,42,,,2,,65,113,65000,,,185,135,125,45447,1,4,,,1231,6200,,,,156,,,,4625941,180,,{},92349,,Cordis Corporation,,,29294,4241,120,283,442,117,,6,,{},,433373,224258,,101
,,,37,,,,,,,457,,,,696,455,,,,,,,1232,,,,,,,,,,,,{},2910,,"Corelink, LLC",,,,46,9,,,,,,,{},,13510,10600,,
,,,,,,,,,,,,,,1003,,,,,,,,1233,,,,,,,,,,,,{},,,Corepharma LLC,,,,0,,,,,,,,{},,0,,,
,,,803,243,,1500,2,25,170,380,2500,47,,294,188,,45084,1,,,63200,1234,,,,,186,,,355,107801,182,,{},43990,,Cormatrix Cardiovascular Inc.,,1,,1019,1,179,5,3500,,,,{},,179775,20000,,
,,,870,,,,139,101,164,261,3000,30,,229,199,,34949,1,,,115736,1235,36400,65,53,,121,500,,,,205,1,{},38377,,Cornerstone Therapeutics Inc.,,,,1286,18,174,,3956,,33,,{},2,284248,51275,81,44
,,,,,,,1,,,461,,,,709,,,,,,,,1236,,,,,,,,,,,,{},,,"Corventis, Inc.",,,,3,2,199,,2500,,,,{},,12500,10000,,
,,6500,1,,,,,,,,,,,699,759,128,6658,,11,,,1237,,,,,3,,1,,,392,,{},104,29,"Cosmedent, Inc.",,,26888,5,,,,,,,,{},,13262,,,
,,,3609,63,,1151959,9,,77,123,48100,,,62,85,15,378634,8,27,,,1238,42020,,,46,944,15295,,40,2418341,50,4,{},193698,,Covidien LP,148204,346,3037038,5126,148,226,646,1107,,12,18,{},,2182001,202981,32,35
,,,14617,,,1886586,44,,20,278,417166,,,47,41,67,294610,83,3,,,1239,160573,,,296,1253,,,29,,59,,{},569030,,Covidien Sales LLC,181227,1136,189100,17516,22,186,,3140,,65,14,{},,3558030,45695,,6
,,,12,,,,,,,415,,,,661,618,,1516,,,,,1240,,,,,4,,,,,522,,{},659,,"Covis Pharmaceuticals, Inc.",,,,20,4,,,,,,,{},,18175,16000,,
,,,6,,,,,,,,,,,956,665,150,,,4,,,1241,,,,,,,,,,,,{},380,,Crosstex International Inc.,,,11621,6,,,,,,,,{},,380,,,
,,,,,,171071,,,,,,,,306,,,,,,,,1242,,,,,,,,115,,,,{},,,"Cryo Specialty Medical, LLC",,5267,,5267,,,,,,,,{},,171071,,,
,10,,,,,,,,,,,,41,605,,,,,,27545,,1243,,,,,,,,,,,,{},,,"Cryo Ventures 2, LLC",,,,10,,,,,,,,{},,27545,,,
,12,,,,,,,,,,,,36,563,,,,,,36669,,1244,,,,,,,,,,,,{},,,"Cryo Ventures 3, LLC",,,,12,,,,,,,,{},,36669,,,
,4,,,,,,,,,,,,47,673,,,,,,15952,,1245,,,,,,,,,,,,{},,,"Cryo Ventures 6, LLC",,,,4,,,,,,,,{},,15952,,,
,,,1047,279,,1500,31,20,,402,,45,,267,191,,51741,,,,64925,1246,,,,59,160,,,355,56493,170,,{},42944,,"Cryolife, Inc.",15774,1,,1334,16,100,20,18143,,,56,{},,213217,18187,,
,,,49,188,,2500,,1,151,227,5000,148,,375,378,,24965,1,,,2500,1247,,,,,47,,,335,210472,241,,{},6373,,"Csa Medical, Inc.",,1,,126,27,,8,,,,,{},,107101,65762,,
,,,3913,162,,,4,87,134,43,10000,28,,106,148,,67161,2,,,135859,1248,7750,,,,194,,,,320629,133,,{},78233,,Csl Behring,,,,5011,806,293,30,57,,5,,{},,1134357,835294,,92
1,,,6573,41,70,940149,743,,110,127,18134,,,83,63,,76869,2,,,,1249,,,,,332,,,44,5117459,125,,{},264796,,Cubist Pharmaceuticals Inc.,,475,,8205,79,58,416,50325,93,,,{},,1542997,192628,,
,,,2626,154,,36715,,,,274,,,,328,169,,10976,,,,,1250,,,,,35,,,202,356461,339,,{},53437,,"Cumberland Pharmaceuticals, Inc.",,21,,2687,5,,36,,,,,{},,148129,47000,,
,,,,,,,,,,303,,,,562,,,,,,,,1251,,,,,,,,,,,,{},,,Curexo Technology Corporation,,,,2,2,,,,,,,{},,36924,36924,,
,,,60,394,,,,,,196,,,,369,414,,18220,,,,,1252,,,,,17,,,,5710,278,,{},4380,,"Cvrx, Inc.",,,,116,39,,1,,,,,{},,110220,87620,,
,,,3417,146,,13114,1,148,160,,3964,18,,149,84,,160697,1,,,240137,1253,,,,,517,5500,,247,389600,82,2,{},194070,,"Cyberonics, Inc.",,7,,4093,,281,41,181,,,,{},,617664,,53,
,,,22,187,,,,,,494,,,,639,550,,10785,,,,,1254,,26,1201,16,16,,,,212879,341,,{},1367,,"Cytori Therapeutics, Inc.",1208,,,69,6,,17,,,,121,{},9,21378,6816,,
,,,113,,,,,,,,,,,485,458,,56011,,,,,1255,,,,,150,,,,,160,,{},2876,,"D4D Technologies, LLC",,,,263,,,,,,,,{},,58887,,,
,,,19,,,,,8,,564,,72,,480,540,111,32806,,3,,24900,1256,,,,3,10,,,,,213,,{},1480,,Daiichi Sankyo Company Ltd.,342,,40500,41,1,,,,,,148,{},,61029,1500,,
,,,100655,23,,,1122,,106,128,19900,,,69,17,,4120,13,,,,1257,,,,,13,,,,16298563,429,,{},1577791,,Daiichi Sankyo Inc.,,,,101919,116,22,14369,222027,,,,{},,2012366,188527,,
,,,13,,,,,,,414,,,,512,484,,28547,,,,,1258,,,,,10,,,,,231,,{},2328,,Dainippon Sunitomo Pharma Co Ltd.,,,,28,5,,,,,,,{},,47039,16163,,
,,,4,,,32079,,,,215,,,,355,708,114,13945,,4,,,1259,,,,,9,,,212,,316,,{},218,,"Dako North America, Inc.",,11,37356,33,9,,,,,,,{},,118730,72487,,
,,,,391,,,,,,,,,,1003,,,,,,,,1260,,,,,,,,,6400,,,{},,,"Dakota Sciences, LLC",,,,0,,,1,,,,,{},,0,,,
,,,,,,1857,,,,,,,,880,,,,,,,,1261,,,,,,,,349,,,,{},,,"Dara Biosciences, Inc.",,1,,1,,,,,,,,{},,1857,,,
,,,,,,,,,,235,,,,472,,,,,,,,1262,,,,,,,,,,,,{},,,"Darby Dental Supply, LLC",,,,10,10,,,,,,,{},,63958,63958,,
,,,,,,,,,,,,,,659,,,,,,,,1263,,,,1373,,,,,,,,{},,,Dash Medical Gloves Inc.,18520,,,1373,,,,,,,53,{},,18520,,,
,,,5,,,,,8,,,,63,,549,587,,5035,,,,34000,1264,,,,,6,,,,,413,,{},901,,Denaturum Inc.orporated,,,,19,,,,,,,,{},,39937,,,
,,,5225,61,,591809,513,150,,422,,74,,121,100,,100150,,,,23453,1265,,,,,418,2500,,56,2464451,110,1,{},159959,,Dendreon Corporation,,294,,6605,4,53,2087,53189,,,,{},,946393,15331,67,
,,,4,,,11900,,24,,,,31,,332,722,,10213,,,,110965,1266,,,,36,14,,,252,,344,,{},177,,Den Mat Holdings LLC,10423,4,,82,,,,,,,70,{},,143679,,,
,,,213,,,,25,,124,,13505,,,400,262,,54396,74,,,,1267,,,,,151,368,,,,164,3,{},19740,,Dental Equipment LLC,,,,466,,164,,4562,,,,{},,92573,,88,
,,1500,77,,,137837,32,,107,,18544,,,279,413,,19640,8,,,,1268,,,,,63,,1,129,,265,,{},4413,44,Dental Imaging Technologies Corp.,,52,,233,,102,,17549,,,,{},,199486,,,
,,,7,,,,,,,,,,,950,656,,,,,,,1269,,,,,,,,,,,,{},432,,Dental Material Gesellschaft Mbh,,,,7,,,,,,,,{},,432,,,
,,,,,,,,,,,,,,414,,,,,,,,1270,,,,12,,,,,,,,{},,,"Dentalez Alabama, Inc.",86551,,,12,,,,,,,29,{},,86551,,,
,,,10,,,661,,12,,,,65,,347,558,,,,,,30869,1271,,18,1880,109,,,,373,,,,{},1254,,"Dentalez, Inc.",91420,3,,263,,,,,,,28,{},129,126087,,,
3,,,5,194,29,7500,,,,,,,,531,730,,16439,,,,,1272,,,,1,13,,,278,198995,296,,{},162,,Dentpsly Ih AB,16,1,,23,,,34,,18510,,196,{},,42628,,,
1,,,2,,49,,,,,,,,,831,778,,,,,,,1273,,,,,,,,,,,,{},51,,Dentsply Canada Ltd.,,,,3,,,,,3500,,,{},,3551,,,
,,,,291,,,,,,,,,,1003,,,,,,,,1274,,,,,,,,,49700,,,{},,,Dentsply Detrey GmbH,,,,0,,,5,,,,,{},,0,,,
5,,398600,5012,,33,,24,,90,396,35000,,,126,81,,167039,1,,,,1275,,,,552,297,,111,,,81,,{},206271,4,Dentsply Ih Inc.,64349,,,6004,2,224,,1139,11500,,35,{},,902650,18750,,
,,7500,2837,221,,14142,,,,296,,,,277,142,24,53505,,11,,,1276,,,,91,42,500,2,246,138784,166,2,{},79698,25,Dentsply International,6153,5,1348560,2983,4,,3,,,,85,{},,200250,38750,81,
,,183224,121,325,,11500,,,,237,,,,189,381,113,19291,,3,,,1277,,,,196,76,,44,254,24755,268,,{},6084,8,Dentsply LLC,130666,2,37500,480,41,,3,,,,21,{},,414179,63413,,
,,,1,,,,,,,,,,,943,706,,300,,,,,1278,,,,,1,,,,,599,,{},228,,Dentsply Mexico Sa De Cv,,,,2,,,,,,,,{},,529,,,
,,,26,,,36265,,,,,,,,552,632,,2127,,,,,1279,,,,5,8,,,205,,489,,{},568,,Dentsply Us Prosthetics LLC,562,61,,100,,,,,,,138,{},,39523,,,
,,,6716,338,,,2108,280,,191,,10,,127,77,,2098,,,,520187,1280,,,,,19,,,,21502,490,,{},214736,,"Depomed, Inc.",,,,9155,32,49,2,58080,,,,{},,887103,92000,,
67,,6000,18790,45,18,66372,711,,2,5,2581357,,,12,31,2,2017762,283,341,,,1281,69716,,,9,4825,,1,161,3836681,3,,{},767270,31,Depuy Synthes Sales Inc.,443,19,35921282,26105,1368,64,248,43321,45600,32,143,{},,12003225,6405382,,21
,,,968,,,,,13,,311,,77,,434,251,,,,,,22508,1282,,,,,,,,,,,,{},21346,,"Derma Sciences, Inc.",,,,986,5,,,,,,,{},,79182,35326,,
,,,4,,,,,,,,,,,990,764,,,,,,,1283,,,,,,,,,,,,{},87,,"Dermarite Industries, LLC",,,,4,,,,,,,,{},,87,,,
